"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean","max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","Di","Ui","iucn_code","threats"
"Abalistes_stellatus",1508.023,"Abalistes_stellatus_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus",14.6076627900003,17.908162948071,3.22659673392145,1463.71006666667,0.675264177381051,0.518518518518518,0.884294256716337,0.920684801156736,"benthic invertivore","demersal","day","sand",0.495108945509143,0.00943929537893569,"NE","nev"
"Abudefduf_abdominalis",1504.3175,"Abudefduf_abdominalis_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf abdominalis",5.63139848154976,10.7382360986517,4.11589338792183,1600.37713333333,0.543924469105433,0.37037037037037,0.883827756763026,0.821523093441126,"planktivore","demersal","day","coral",0.468941446000265,0.0403262182843932,"LC","nthr"
"Abudefduf_bengalensis",1385.1897,"Abudefduf_bengalensis_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf bengalensis",5.99047786781636,10.6990384187495,5.13053597585776,1453.3264,0.436301066895085,0.407407407407407,0.851640330423675,0.935464521388796,"planktivore","demersal","day","coral",0.467588272019919,0.00802997487103194,"LC","nthr"
"Abudefduf_concolor",1434.8481,"Abudefduf_concolor_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf concolor",7.14613356459811,12.4972968000071,5.25577817792875,1486.6138,0.457376450129489,0.259259259259259,0.932109744826885,0.893415423582819,"planktivore","demersal","day","coral",0.473216853595837,0.0154072676460865,"LC","nthr"
"Abudefduf_conformis",1421.0225,"Abudefduf_conformis_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf conformis",7.61822917069929,14.1675767452487,4.32280615975626,1458.9055,0.386921548043701,0.296296296296296,0.958466869045338,0.938983964337403,"planktivore","demersal","day","coral",0.473706763829007,0.0195176712974783,"LC","nthr"
"Abudefduf_luridus",1587.095,"Abudefduf_luridus_J_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf luridus",8.37328078589737,14.5346209728187,4.29350293092304,1452.78266666667,0.412584760829815,0.555555555555555,0.765679876564561,0.733624272670377,"planktivore","demersal","day","rock",0.528816066716287,0.0198782413069678,"LC","nthr"
"Abudefduf_notatus",1375.9985,"Abudefduf_notatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf notatus",5.60187370556699,10.5248881861557,4.28877379879541,1381.11446306333,0.436301066895085,0.259259259259259,0.895622078746715,0.904530711077534,"planktivore","demersal","day","coral",0.472743693202507,0.0154072676460865,"LC","nthr"
"Abudefduf_saxatilis",1476.2231,"Abudefduf_saxatilis_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis",5.49695822799294,10.3767853150856,3.65872429999251,1478.4597,0.492752561484523,0.518518518518518,0.905681329500716,0.91988430054482,"planktivore","demersal","day","coral",0.468070012509378,0.0115113611101665,"LC","nthr"
"Abudefduf_septemfasciatus",1436.0403,"Abudefduf_septemfasciatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf septemfasciatus",5.02270706257318,9.87253077940638,3.8554460549341,1382.14465,0.493578197413049,0.37037037037037,0.928343783966061,0.938595945711285,"planktivore","demersal","day","coral",0.469168907290126,0.0147890170306715,"LC","nthr"
"Abudefduf_sexfasciatus",1652.0703,"Abudefduf_sexfasciatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sexfasciatus",5.37112332232987,10.721709770356,3.52499231375442,1599.903,0.424813722840309,0.148148148148148,0.860097026454845,0.924799276476421,"planktivore","demersal","day","coral",0.481280951417023,0.0299689406400581,"LC","nthr"
