"sp_name","Importance"
"Apolemichthys_trimaculatus","minor commercial"
"Aprion_virescens","highly commercial"
"Aracana_aurita",NA
"Aracana_ornata",NA
"Archamia_bleekeri",NA
"Arcos_poecilophthalmos",NA
"Arenigobius_frenatus",NA
"Argyrosomus_hololepidotus","commercial"
"Argyrosomus_japonicus","commercial"
"Arothron_caeruleopunctatus","of no interest"
"Arothron_diadematus",NA
"Arothron_hispidus","minor commercial"
"Arothron_inconditus",NA
"Arothron_manilensis",NA
"Arothron_mappa","minor commercial"
"Arothron_meleagris",NA
"Arothron_nigropunctatus",NA
"Arothron_stellatus","of no interest"
"Arripis_georgianus","commercial"
"Arripis_trutta","commercial"
"Arripis_truttacea","commercial"
"Arripis_xylabion",NA
"Artedius_harringtoni",NA
"Aspasmogaster_tasmaniensis",NA
"Aspidontus_dussumieri",NA
"Aspidontus_taeniatus",NA
"Assessor_flavissimus",NA
"Assessor_macneilli",NA
"Assessor_randalli",NA
"Assiculus_punctatus",NA
"Asterropteryx_striata",NA
"Atherina_hepsetus","highly commercial"
"Atherina_presbyter","subsistence fisheries"
"Atherinomorus_vaigiensis","minor commercial"
"Atractoscion_aequidens","commercial"
"Atrosalarias_holomelas",NA
"Atule_mate","minor commercial"
"Atypichthys_latus",NA
"Atypichthys_strigatus",NA
"Aulacocephalus_temminckii",NA
"Aulorhynchus_flavidus",NA
"Austrolabrus_maculatus",NA
"Axoclinus_cocoensis",NA
"Axoclinus_lucillae",NA
"Axoclinus_multicinctus",NA
"Axoclinus_rubinoffi",NA
"Azurina_eupalama",NA
"Balistapus_undulatus","commercial"
"Balistes_capriscus","commercial"
"Balistes_polylepis","commercial"
"Balistes_punctatus","commercial"
"Balistes_vetula","minor commercial"
"Balistoides_conspicillum","minor commercial"
"Balistoides_viridescens","commercial"
"Bathygobius_krefftii",NA
"Bathygobius_lineatus","of no interest"
"Bathystethus_cultratus",NA
"Batrachoides_boulengeri",NA
"Belone_belone","commercial"
"Belonoperca_chabanaudi",NA
"Blenniella_chrysospilos","of no interest"
"Bodianus_albotaeniatus",NA
"Bodianus_anthioides",NA
"Bodianus_axillaris","minor commercial"
"Bodianus_bilunulatus","minor commercial"
"Bodianus_diana","minor commercial"
"Bodianus_dictynna",NA
"Bodianus_diplotaenia",NA
"Bodianus_eclancheri","of no interest"
"Bodianus_frenchii",NA
"Bodianus_loxozonus","minor commercial"
"Bodianus_mesothorax",NA
"Bodianus_perditio","commercial"
