"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean"
"Acanthistius_cinctus",1602.2229,"Acanthistius_cinctus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius cinctus",31.686662335766,50.1293075143747,20.4324336265505,1695.2675
"Acanthistius_ocellatus",1396.9666,"Acanthistius_ocellatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius ocellatus",34.1195192309121,50.4880052984897,21.9915545212104,1397.3066
"Acanthistius_pardalotus",1310.5015,"Acanthistius_pardalotus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius pardalotus",12.4247799290998,16.3821797235194,4.66002817598518,1421.5018
"Acanthistius_patachonicus",1382.3656,"Acanthistius_patachonicus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius patachonicus",10.002747249069,15.266101190368,10.0999091214138,1298.99636666667
"Acanthistius_sebastoides",1315.4075,"Acanthistius_sebastoides_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius sebastoides",25.9732525527946,39.8078252373324,12.9722188153893,1301.8866
"Acanthistius_serratus",1189.8064,"Acanthistius_serratus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius serratus",7.92311922930161,12.447659312039,4.97219503374358,1264.0823
"Acanthochromis_polyacanthus",1499.7473,"Acanthochromis_polyacanthus_A_4","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Acanthochromis","Acanthochromis polyacanthus",8.65758331162723,13.200438069809,4.06526160287121,1410.42696
"Acanthopagrus_australis",1255.3466,"Acanthopagrus_australis_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Acanthopagrus","Acanthopagrus australis",11.8009710191807,20.3207295155272,2.07547614936831,1256.1305
"Acanthopagrus_latus",1187.185,"Acanthopagrus_latus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Acanthopagrus","Acanthopagrus latus",12.219021344317,20.3702085147613,2.35775164142485,1187.185
"Acanthostracion_polygonius",1690.079,"Acanthostracion_polygonius_J_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion polygonius",7.59186700000039,23.23185071491,1.86256212984228e-05,1640.64976666667
"Acanthostracion_quadricornis",1635.688,"Acanthostracion_quadricornis_J_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion quadricornis",7.88263454000002,23.3772344849097,1.02281781603149,1620.1391
"Acanthurus_achilles",1564.5798,"Acanthurus_achilles_A_1",NA,0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus achilles",5.83054254676066,10.7864526853353,2.75207117030505,1631.3818
"Acanthurus_albipectoralis",1454.019,"Acanthurus_albipectoralis_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus albipectoralis",6.09505351297988,10.6205810489805,3.04475155028588,1454.019
"Acanthurus_auranticavus",1475.0842,"Acanthurus_auranticavus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus auranticavus",3.71674355083505,8.40351313599043,1.34976723951813,1544.7998
