"family","mean_lambda","se_lambda","mean_pval","se_pval","meanlambda_rounded","selambda_rounded","meanpval_rounded","sepval_rounded","size_fam"
"Gerreidae",0.344877921962092,0.735488814659834,0.862873988502733,0.278352212493601,0.345,0.735,0.863,0.278,0
"Pentacerotidae",6.29825485029061e-05,2.69107221289644e-12,1,0,0,0,1,0,0
"Glaucosomatidae",6.01132460644697e-05,0,1,0,0,0,1,0,0
"Lethrinidae",6.61069613518961e-05,0,1,0,0,0,1,0,0
"Odacidae",0.936842340238802,0.138771304091303,0.222718341182003,0.194494268825188,0.937,0.139,0.223,0.194,0
"Sebastidae",6.61069613518961e-05,0,1,0,0,0,1,0,0
"Terapontidae",7.05673133430744e-05,4.30695646818523e-06,1,0,0,0,1,0,0
"Hemiramphidae",0.999933893038648,0,1,0,1,0,1,0,0
"Priacanthidae",5.97292010536444e-05,1.32173762937094e-05,1,0,0,0,1,0,0
"Hexagrammidae",6.61069613518961e-05,0,1,0,0,0,1,0,0
"Holocentridae",0.549134718216908,0.137212457885558,0.00234780085619522,0.000719655210289348,0.549,0.137,0.002,0.001,0
"Clupeidae",6.61069613518961e-05,0,1,0,0,0,1,0,0
"Synanceiidae",0.123018963545996,0.149629173768885,0.903370154197374,0.127061985055594,0.123,0.15,0.903,0.127,0
"Latridae",2.09675560615782,8.13485674904175,0.789224118036005,1.08476197433535e-10,2.097,8.135,0.789,0,0
"Moridae",1.50141834801787,7.66482086840929e-13,0.124785674320813,1.94041990414207e-13,1.501,0,0.125,0,0
"Neosebastidae",0.959765490236674,9.31031193949452e-11,0.399170475506307,4.24387192994481e-10,0.96,0,0.399,0,0
"Monodactylidae",0.980805850841369,0.172055515814699,0.311212303355084,3.90406273333131e-10,0.981,0.172,0.311,0,0
"Mullidae",0.0155802942199579,0.0480587285601597,0.959032732712548,0.126193862881622,0.016,0.048,0.959,0.126,0
"Ophichthidae",5.86602536369486e-05,1.08804112064975e-05,1,0,0,0,1,0,0
"Bythitidae",0.326908625732466,0.395129481746108,0.774818712799287,0.298107523820392,0.327,0.395,0.775,0.298,0
"Opistognathidae",0.396154931304935,0.427267455778464,0.914678173955101,0.0812438694540219,0.396,0.427,0.915,0.081,0
"Oplegnathidae",0.999933893038648,0,1,0,1,0,1,0,0
"Trachichthyidae",0.379155561341348,0.771247332542644,0.82351023231502,0.360063127104991,0.379,0.771,0.824,0.36,0
"Nototheniidae",6.61069613518961e-05,0,1,0,0,0,1,0,0
"Pinguipedidae",0.326752944358748,0.219927926086302,0.433731622491848,0.28123209054662,0.327,0.22,0.434,0.281,0
"Pempheridae",0.481583961636621,0.136019956851751,0.27420989049374,0.213924928085253,0.482,0.136,0.274,0.214,0
"Nemipteridae",0.0746409091126563,0.128407480768394,0.825895913802939,0.194921538429073,0.075,0.128,0.826,0.195,0
"Pholidae",0.999933893038648,0,1,0,1,0,1,0,0
"Synodontidae",0.00612426734740977,0.0310142132137474,0.990534985828743,0.0479488622849466,0.006,0.031,0.991,0.048,0
"Siganidae",0.345565547541318,0.109231369622766,0.193228315213468,0.152527606106721,0.346,0.109,0.193,0.153,0
"Sillaginidae",0.837103032632395,0.83630667268193,0.844598111849796,0.103601842865953,0.837,0.836,0.845,0.104,0
"Sphyraenidae",0.0656361096666884,0.168158362508035,0.9378971610884,0.144677800067423,0.066,0.168,0.938,0.145,0
"Tree",0.743220990461929,0.0125739020424425,3.87301649129045e-272,0,0.743,0.013,0,0,0
