"family","totsp","oursp","percent","mean_esth","sd_esth","min_esth","max_esth"
"Hexagrammidae",30,6,20,1429.34998333333,118.053473673237,1323.7642,1632.1025
"Holocentridae",273,37,13.5531135531136,1450.29902833408,94.2293708384266,1291.0404,1662.3816
"Kuhliidae",24,1,4.16666666666667,1319.7977,NA,1319.7977,1319.7977
"Kyphosidae",155,33,21.2903225806452,1420.36742648569,140.362129835556,1205.3402,1715.6672
"Labridae",439,339,77.2209567198178,1563.01771511278,113.108289392589,1199.402,1898.0447
"Labrisomidae",174,19,10.9195402298851,1449.70736842105,74.4928573170464,1338.1462,1565.7848
"Latidae",14,1,7.14285714285714,1245.9873,NA,1245.9873,1245.9873
"Latridae",12,3,25,1207.97293333333,25.5423715831817,1189.1102,1237.04
"Lethrinidae",91,24,26.3736263736264,1371.91353333333,93.464298084524,1226.7954,1558.0592
"Liparidae",272,1,0.367647058823529,1318.1301,NA,1318.1301,1318.1301
"Lotidae",103,1,0.970873786407767,1354.7855,NA,1354.7855,1354.7855
"Lutjanidae",151,50,33.112582781457,1441.575188,135.985687301862,1236.4714,1741.432
"Malacanthidae",83,6,7.2289156626506,1430.26425,99.058485906534,1240.1827,1524.0791
"Megalopidae",22,1,4.54545454545455,1224.8859,NA,1224.8859,1224.8859
"Microdesmidae",131,11,8.3969465648855,1498.52279090909,85.4793094029246,1342.2198,1633.5742
"Molidae",56,1,1.78571428571429,1463.6879,NA,1463.6879,1463.6879
"Monacanthidae",268,43,16.044776119403,1572.42464560907,97.2153326438186,1402.3822,1864.4678
"Monocentridae",9,1,11.1111111111111,1748.1046,NA,1748.1046,1748.1046
"Monodactylidae",18,3,16.6666666666667,1438.092,131.031521603506,1360.1891,1589.3716
"Moridae",205,3,1.46341463414634,1293.07023333333,152.049192878697,1186.9978,1467.2693
"Moronidae",15,2,13.3333333333333,1263.8683,34.6636472059707,1239.3574,1288.3792
"Mugilidae",278,10,3.59712230215827,1271.27364,66.1878378637008,1166.307,1415.9922
"Mullidae",207,29,14.0096618357488,1429.68295172414,55.7203544065594,1308.3777,1552.9767
"Muraenidae",299,35,11.7056856187291,1412.83245714286,106.901630224171,1182.732,1852.8286
"Nemipteridae",194,21,10.8247422680412,1465.57736666667,83.7504282225788,1272.705,1631.3081
"Neosebastidae",23,3,13.0434782608696,1527.37253333333,123.187392283396,1438.5247,1667.9977
"Nototheniidae",136,5,3.67647058823529,1364.4689,154.893126628443,1220.1045,1616.1033
"Odacidae",41,11,26.8292682926829,1481.70329090909,128.648426353947,1340.9938,1762.694
"Ogcocephalidae",141,1,0.709219858156028,1408.8049,NA,1408.8049,1408.8049
"Ophichthidae",379,4,1.05540897097625,1423.932875,27.6802168530011,1388.8794,1449.1531
"Ophidiidae",433,1,0.23094688221709,1271.0592,NA,1271.0592,1271.0592
"Opistognathidae",112,3,2.67857142857143,1457.8356,60.0542766267316,1403.1252,1522.0906
"Oplegnathidae",17,2,11.7647058823529,1457.2462,378.244286600102,1189.7871,1724.7053
"Ostraciidae",107,13,12.1495327102804,1701.13130769231,90.0941614515009,1452.8188,1843.75
"Parascorpididae",2,1,50,1229.3701,NA,1229.3701,1229.3701
"Pataecidae",9,1,11.1111111111111,1451.7192,NA,1451.7192,1451.7192
"Pempheridae",69,17,24.6376811594203,1405.08276470588,74.6074010568652,1263.518,1515.8934
"Pentacerotidae",29,5,17.2413793103448,1603.79294,122.558009952891,1413.5588,1724.0801
"Percophidae",80,1,1.25,1366.6985,NA,1366.6985,1366.6985
"Pholidae",45,2,4.44444444444444,1309.6293,145.31892881521,1206.8733,1412.3853
"Pholidichthyidae",4,1,25,1549.4297,NA,1549.4297,1549.4297
"Pinguipedidae",86,20,23.2558139534884,1381.441845,60.7413574258618,1250.196,1477.491
"Platycephalidae",224,9,4.01785714285714,1310.6242,66.9216883440638,1185.8096,1382.9587
"Plesiopidae",89,11,12.3595505617978,1609.89434545455,174.800297824468,1338.9508,1938.2141
"Plotosidae",55,5,9.09090909090909,1433.24496,118.826191825048,1299.2051,1582.5887
"Polyprionidae",13,1,7.69230769230769,1285.5542,NA,1285.5542,1285.5542
"Pomacanthidae",184,42,22.8260869565217,1724.59636666667,152.768994201556,1386.7064,1980.2004
"Pomacentridae",402,252,62.6865671641791,1525.83833641367,142.426488875925,1224.4741,1835.7532
"Pomatomidae",17,1,5.88235294117647,1220.1986,NA,1220.1986,1220.1986
"Priacanthidae",61,3,4.91803278688525,1509.4402,203.054682131464,1275.2781,1636.8792
"Pseudochromidae",194,23,11.8556701030928,1528.8204826087,117.82619157313,1284.5364,1746.1772
"Rachycentridae",16,1,6.25,1390.4387,NA,1390.4387,1390.4387
"Salmonidae",215,1,0.465116279069767,1322.1953,NA,1322.1953,1322.1953
"Sciaenidae",270,14,5.18518518518519,1385.52291428571,156.874782388811,1196.4849,1642.4985
"Scombridae",285,18,6.31578947368421,1302.10254444444,53.511995195956,1216.4054,1397.383
"Scombropidae",8,1,12.5,1292.9224,NA,1292.9224,1292.9224
"Scorpaenidae",353,36,10.1983002832861,1545.05854166667,149.242110403822,1299.9036,1870.5117
"Sebastidae",227,18,7.9295154185022,1436.39327222222,136.988760792211,1206.7244,1659.0466
"Serranidae",1007,160,15.888778550149,1497.98416202267,121.397002118613,1184.3633,1838.1599
"Siganidae",115,20,17.3913043478261,1534.738225,125.399702869634,1232.0245,1694.3223
"Sillaginidae",58,3,5.17241379310345,1246.60343333333,29.9637105683414,1221.6266,1279.8269
"Sparidae",342,43,12.5730994152047,1356.11556976744,115.31478394244,1187.185,1649.8574
"Sphyraenidae",55,11,20,1297.32817272727,56.6705834670879,1182.5342,1388.6837
"Stichaeidae",185,8,4.32432432432432,1354.65855,59.9979767952458,1257.8826,1425.9073
"Synanceiidae",71,4,5.63380281690141,1475.469625,154.089521598591,1341.9006,1675.2753
"Synodontidae",141,15,10.6382978723404,1404.61484666667,44.5100656791868,1319.768,1486.769
"Terapontidae",49,4,8.16326530612245,1394.728475,44.0814363676575,1337.1252,1444.4242
"Tetraodontidae",183,40,21.8579234972678,1537.4084625,105.452738710524,1312.6167,1710.5786
"Tetrarogidae",94,1,1.06382978723404,1439.4335,NA,1439.4335,1439.4335
"Trachichthyidae",86,3,3.48837209302326,1328.93326666667,71.1381040167878,1263.5063,1404.6597
"Trachinidae",23,1,4.34782608695652,1484.2104,NA,1484.2104,1484.2104
"Triglidae",234,3,1.28205128205128,1441.97596666667,108.069167276209,1347.3461,1559.7383
"Tripterygiidae",300,42,14,1451.22817857143,64.6074776910331,1302.0579,1590.3478
"Zanclidae",3,1,33.3333333333333,1791.70153012879,NA,1791.70153012879,1791.70153012879
"Zeidae",39,1,2.56410256410256,1685.2888,NA,1685.2888,1685.2888
