"sp_worms","name_worms","mayo_campgn","fisheyes_campgn","esthe_mayo"
"Acanthurus_bariene","Acanthurus_bariene_A_2",0,0,NA
"Acanthurus_bariene","Acanthurus_bariene_A_1",0,0,NA
"Acanthurus_bariene","Acanthurus_bariene_A_3",0,0,NA
"Acanthurus_blochii","Acanthurus_blochii_A_1",0,1,NA
"Acanthurus_chirurgus","Acanthurus_chirurgus_A_1",0,0,NA
"Acanthurus_chronixis","Acanthurus_chronixis_A_1",0,0,NA
"Acanthurus_chronixis","Acanthurus_chronixis_A_2",0,0,NA
"Acanthurus_coeruleus","Acanthurus_coeruleus_J_1",0,0,NA
"Acanthurus_coeruleus","Acanthurus_coeruleus_A_1",0,1,NA
"Acanthurus_coeruleus","Acanthurus_coeruleus_J_2",0,0,NA
"Acanthurus_dussumieri","Acanthurus_dussumieri_A_1",0,0,NA
"Acanthurus_fowleri","Acanthurus_fowleri_A_1",0,0,NA
"Acanthurus_gahhm","Acanthurus_gahhm_A_1",0,0,NA
"Acanthurus_grammoptilus","Acanthurus_grammoptilus_A_2",0,1,NA
"Acanthurus_grammoptilus","Acanthurus_grammoptilus_A_1",0,0,NA
"Acanthurus_grammoptilus","Acanthurus_grammoptilus_J_1",0,0,NA
"Acanthurus_guttatus","Acanthurus_guttatus_A_1",0,0,NA
"Acanthurus_guttatus","Acanthurus_guttatus_A_2",0,0,NA
"Acanthurus_leucocheilus","Acanthurus_leucocheilus_A_1",0,1,NA
"Acanthurus_leucopareius","Acanthurus_leucopareius_A_2",0,0,NA
"Acanthurus_leucopareius","Acanthurus_leucopareius_A_1",0,1,NA
"Acanthurus_leucosternon","Acanthurus_leucosternon_5",1,0,1843.976304
"Acanthurus_leucosternon","Acanthurus_leucosternon_A_1",0,0,NA
"Acanthurus_leucosternon","Acanthurus_leucosternon_A_2",0,1,NA
"Acanthurus_lineatus","Acanthurus_lineatus_6",1,0,1800.779671
"Acanthurus_lineatus","Acanthurus_lineatus_A_2",0,0,NA
"Acanthurus_lineatus","Acanthurus_lineatus_A_1",0,0,NA
"Acanthurus_maculiceps","Acanthurus_maculiceps_A_1",0,0,NA
"Acanthurus_mata","Acanthurus_mata_A_1",0,1,NA
"Acanthurus_mata","Acanthurus_mata_J_1",0,0,NA
"Acanthurus_nigricans","Acanthurus_nigricans_A_1",0,0,NA
"Acanthurus_nigricauda","Acanthurus_nigricauda_4",1,0,1345.34194
"Acanthurus_nigricauda","Acanthurus_nigricauda_A_1",0,0,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_3",0,1,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_2",0,0,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_1",0,0,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_7",1,0,1405.227904
"Acanthurus_nigroris","Acanthurus_nigroris_A_1",0,0,NA
"Acanthurus_nigroris","Acanthurus_nigroris_A_3",0,1,NA
"Acanthurus_nigroris","Acanthurus_nigroris_A_2",0,0,NA
"Acanthurus_nubilus","Acanthurus_nubilus_A_1",0,0,NA
"Acanthurus_nubilus","Acanthurus_nubilus_A_2",0,0,NA
"Acanthurus_olivaceus","Acanthurus_olivaceus_J_1",0,1,NA
"Acanthurus_olivaceus","Acanthurus_olivaceus_A_1",0,0,NA
"Acanthurus_pyroferus","Acanthurus_pyroferus_J_1",0,0,NA
"Acanthurus_pyroferus","Acanthurus_pyroferus_J_2",0,0,NA
"Acanthurus_pyroferus","Acanthurus_pyroferus_A_1",0,0,NA
"Acanthurus_reversus","Acanthurus_reversus_J_1",0,0,NA
"Acanthurus_reversus","Acanthurus_reversus_A_1",0,0,NA
"Acanthurus_sohal","Acanthurus_sohal_A_1",0,0,NA
"Acanthurus_tennentii","Acanthurus_tennentii_8",1,0,1730.224699
"Acanthurus_tennentii","Acanthurus_tennentii_A_1",0,1,NA
"Acanthurus_thompsoni","Acanthurus_thompsoni_A_2",0,1,NA
"Acanthurus_thompsoni","Acanthurus_thompsoni_A_1",0,0,NA
"Acanthurus_thompsoni","Acanthurus_thompsoni_9",1,0,1379.416611
"Acanthurus_thompsoni","Acanthurus_thompsoni_A_3",0,0,NA
"Acanthurus_triostegus","Acanthurus_triostegus_A_1",0,1,NA
"Acanthurus_triostegus","Acanthurus_triostegus_10",1,0,1517.962566
"Acanthurus_tristis","Acanthurus_tristis_J_1",0,1,NA
"Acanthurus_tristis","Acanthurus_tristis_A_1",0,0,NA
"Acanthurus_tristis","Acanthurus_tristis_176",1,0,1371.509794
"Acanthurus_xanthopterus","Acanthurus_xanthopterus_A_1",0,0,NA
"Achoerodus_gouldii","Achoerodus_gouldii_A_1",0,0,NA
"Achoerodus_gouldii","Achoerodus_gouldii_A_2",0,0,NA
"Achoerodus_gouldii","Achoerodus_gouldii_A_3",0,0,NA
"Achoerodus_viridis","Achoerodus_viridis_J_1",0,1,NA
"Achoerodus_viridis","Achoerodus_viridis_M_1",0,0,NA
"Achoerodus_viridis","Achoerodus_viridis_F_1",0,0,NA
"Aetapcus_maculatus","Aetapcus_maculatus_A_2",0,0,NA
"Aetapcus_maculatus","Aetapcus_maculatus_A_1",0,0,NA
"Aethaloperca_rogaa","Aethaloperca_rogaa_J_1",0,0,NA
"Aethaloperca_rogaa","Aethaloperca_rogaa_11",1,0,1199.714693
"Aethaloperca_rogaa","Aethaloperca_rogaa_A_1",0,0,NA
"Aethaloperca_rogaa","Aethaloperca_rogaa_A_2",0,0,NA
"Afurcagobius_tamarensis","Afurcagobius_tamarensis_A_1",0,0,NA
"Afurcagobius_tamarensis","Afurcagobius_tamarensis_A_2",0,0,NA
"Aioliops_brachypterus","Aioliops_brachypterus_A_1",0,0,NA
"Aioliops_novaeguineae","Aioliops_novaeguineae_A_1",0,0,NA
"Aioliops_novaeguineae","Aioliops_novaeguineae_A_2",0,0,NA
"Albula_glossodonta","Albula_glossodonta_A_2",0,0,NA
"Albula_glossodonta","Albula_glossodonta_A_1",0,0,NA
"Alectis_ciliaris","Alectis_ciliaris_A_2",0,0,NA
"Alectis_ciliaris","Alectis_ciliaris_J_1",0,0,NA
"Alectis_ciliaris","Alectis_ciliaris_A_1",0,0,NA
"Alloclinus_holderi","Alloclinus_holderi_A_1",0,0,NA
"Allomycterus_pilatus","Allomycterus_pilatus_A_2",0,0,NA
"Allomycterus_pilatus","Allomycterus_pilatus_A_1",0,0,NA
"Alphestes_immaculatus","Alphestes_immaculatus_A_2",0,0,NA
