sp_name;max_length;trophic_level;trophic_group;water_column;diel_activity;habitat;thermal_mp_5min_95max;thermal_95thmax
Abalistes stellatus;60;3.4;Benthic invertivore;Demersal;Day;sand;25.73175;30.9635
Abudefduf abdominalis;30;3;Planktivore;Demersal;Day;coral;25.7133;27.3996
Abudefduf bengalensis;17;3.1;Planktivore;Demersal;Day;coral;24.471725;31.533
Abudefduf concolor;19;2.7;Planktivore;Demersal;Day;coral;27.6948;29.9396
Abudefduf conformis;13.1;2.8;Planktivore;Demersal;Day;coral;28.8402;31.67015
Abudefduf luridus;15;3.5;Planktivore;Demersal;Day;rock;21.44195;24.585
Abudefduf notatus;17;2.7;Planktivore;Demersal;Day;coral;26.18385;30.3528
Abudefduf saxatilis;22.9;3.4;Planktivore;Demersal;Day;coral;26.591975;30.93295
Abudefduf septemfasciatus;23;3;Planktivore;Demersal;Day;coral;27.5349;31.655
Abudefduf sexfasciatus;16;2.4;Planktivore;Demersal;Day;coral;24.792;31.121
Abudefduf sordidus;23;2.8;Planktivore;Demersal;Day;coral;24.901625;31.18625
Abudefduf sparoides;16;3;Planktivore;Demersal;Day;coral;27.653;30.052
Abudefduf troschelii;20;3;Planktivore;Demersal;Day;coral;25.586;30.399
Abudefduf vaigiensis;20;2.6;Planktivore;Demersal;Day;coral;23.959625;31.30125
Abudefduf whitleyi;14;2.6;Planktivore;Demersal;Day;coral;24.4745;29.938
Acanthaluteres brownii;55;2.8;Omnivore;Demersal;Day;rock;17.9445;22.745
Acanthaluteres spilomelanurus;14;2.9;Omnivore;Demersal;Day;sand;16.4175;22.598
Acanthaluteres vittiger;35;2;Omnivore;Demersal;Day;rock;16.799;23.239
Acanthemblemaria atrata;5;3.3;Benthic invertivore;benthic;Day;rock;28.233;29.75
Acanthemblemaria castroi;6;3.4;Benthic invertivore;benthic;Day;rock;23.54945;26.311
Acanthemblemaria crockeri;6;3.4;Benthic invertivore;benthic;Day;coral;22.65535;29.47
Acanthemblemaria hancocki;4.5;3.4;Benthic invertivore;benthic;Day;rock;26.7425;30.292
Acanthemblemaria spinosa;2.8;3.1;Benthic invertivore;benthic;Day;coral;28.39195;30.9887
Acanthemblemaria stephensi;5;3.4;Benthic invertivore;benthic;Day;rock;26.897;27.526
Acanthistius cinctus;50;4.1;Higher carnivore;Demersal;Day;rock;21.339;24.92
Acanthistius ocellatus;64;4.1;Higher carnivore;Demersal;Day;rock;19.89925;24.56
Acanthistius pardalotus;65;4.1;Higher carnivore;Demersal;Day;rock;20.747625;24.2173
Acanthistius patachonicus;65;4;Higher carnivore;Demersal;Day;rock;14.624;19.031
Acanthistius sebastoides;35;4;Higher carnivore;Demersal;Day;rock;19.94;24.07
Acanthistius serratus;50;4.1;Higher carnivore;Demersal;Day;rock;19.776425;23.2785
Acanthochromis polyacanthus;14;2.7;Planktivore;Demersal;Day;coral;25.819;31.344
Acanthocybium solandri;250;4.3;Higher carnivore;pelagic non-site attached;Day;water column;NA;NA
Acanthopagrus australis;66;3.1;Benthic invertivore;Demersal;Day;rock;20.237;25.203
Acanthopagrus latus;50;3.2;Benthic invertivore;Demersal;Day;rock;26.62595;31.7092
Acanthostracion polygonius;50;2;Benthic invertivore;Demersal;Day;coral;26.9614;30.3543
Acanthostracion quadricornis;55;3;Benthic invertivore;Demersal;Day;coral;23.8425;31.353
Acanthurus achilles;24;2;Browsing herbivore;Demersal;Day;coral;27.0545;30.044
Acanthurus albipectoralis;33;3.4;Browsing herbivore;Demersal;Day;coral;22.8091;29.4482
Acanthurus auranticavus;45;2;Browsing herbivore;Demersal;Day;coral;26.987;31.647
Acanthurus bahianus;38.1;2;Browsing herbivore;Demersal;Day;coral;26.5805;30.91
Acanthurus bariene;50;2;Browsing herbivore;Demersal;Day;coral;28.35565;30.543
Acanthurus blochii;45;2;Browsing herbivore;Demersal;Day;coral;27.09435;30.674
Acanthurus chirurgus;39;2;Browsing herbivore;Demersal;Day;coral;26.3255;31.063
Acanthurus coeruleus;39;2;Browsing herbivore;Demersal;Day;coral;26.5805;30.91
Acanthurus dussumieri;54;2;Browsing herbivore;Demersal;Day;coral;24.23425;31.1035
Acanthurus fowleri;45;2;Browsing herbivore;Demersal;Day;coral;30.31095;31.5427
Acanthurus gahhm;40;2.8;Browsing herbivore;Demersal;Day;coral;27.117;30.78
Acanthurus grammoptilus;35;2.1;Browsing herbivore;Demersal;Day;coral;26.763;32.101
Acanthurus guttatus;26;2;Browsing herbivore;Demersal;Day;coral;26.75285;29.7826
Acanthurus leucocheilus;45;2;Browsing herbivore;Demersal;Day;coral;27.9;31.419
Acanthurus leucopareius;24;2;Browsing herbivore;Demersal;Day;coral;24.4955;28.425
Acanthurus leucosternon;54;2;Browsing herbivore;Demersal;Day;coral;28.45325;31.4635
Acanthurus lineatus;38;2;Browsing herbivore;Demersal;Day;coral;27.25235;31.3047
Acanthurus maculiceps;40;2;Browsing herbivore;Demersal;Day;coral;28.1027;30.95
Acanthurus mata;50;2.5;Omnivore;Demersal;Day;coral;26.872325;31.37865
Acanthurus nigricans;21.3;2;Browsing herbivore;Demersal;Day;coral;27.3265;31.224
Acanthurus nigricauda;40;3;Browsing herbivore;Demersal;Day;coral;27.657;31.17
Acanthurus nigrofuscus;21;2;Browsing herbivore;Demersal;Day;coral;25.4475;30.774
Acanthurus nigroris;25;2;Browsing herbivore;Demersal;Day;coral;26.229375;30.13175
Acanthurus nubilus;26;3.4;Browsing herbivore;Demersal;Day;coral;27.274275;31.534
Acanthurus olivaceus;35;2.2;Browsing herbivore;Demersal;Day;coral;24.3528;31.3406
Acanthurus pyroferus;25;2;Browsing herbivore;Demersal;Day;coral;27.266;31.435
Acanthurus reversus;21.6;2.2;Browsing herbivore;Demersal;Day;coral;28.3031;29.298
Acanthurus sohal;40;2;Browsing herbivore;Demersal;Day;coral;27.09775;32.0565
Acanthurus tennentii;31;2;Browsing herbivore;Demersal;Day;coral;29.557525;30.78105
Acanthurus thompsoni;27;3.4;Planktivore;Demersal;Day;coral;26.87775;31.16845
Acanthurus triostegus;27;2.8;Browsing herbivore;Demersal;Day;coral;25.9618;30.892
Acanthurus tristis;25;2.2;Browsing herbivore;Demersal;Day;coral;29.274;30.95
Acanthurus xanthopterus;70;2.9;Browsing herbivore;Demersal;Day;coral;27.382;31.518
Achoerodus gouldii;175;3.8;Benthic invertivore;Demersal;Day;rock;17.76555;21.6491
Achoerodus viridis;100;3.7;Benthic invertivore;Demersal;Day;rock;19.6225;24.56
Aeoliscus strigatus;15;3.5;Benthic invertivore;Demersal;Day;coral;27.5332;32.048
Aetapcus maculatus;22;3.5;Benthic invertivore;benthic;Day;rock;16.8675;22.114
Aethaloperca rogaa;60;4.2;Higher carnivore;Demersal;Day;coral;27.56155;31.647
Aetobatus narinari;330;3.2;Benthic invertivore;Demersal;Day;coral;25.494;31.0345
Aetobatus ocellatus;330;3.2;Benthic invertivore;benthic;Day;coral;26.2155;28.617
Afurcagobius tamarensis;11;3.3;Benthic invertivore;benthic;Day;sand;16.1155;21.221
Aioliops novaeguineae;NA;NA;Planktivore;benthic;Day;sand;30.5165;31.176
Alectis ciliaris;150;3.8;Higher carnivore;pelagic non-site attached;Day;water column;23.9744;31.1789
Alectis indica;165;NA;Higher carnivore;benthic;Day;sand;NA;NA
Alepes vari;56;3.7;Higher carnivore;pelagic non-site attached;Day;water column;29.963;30.437
Alloclinus holderi;10;3.5;Benthic invertivore;benthic;Day;rock;17.67565;22.0513
Alphestes immaculatus;30;3.5;Benthic invertivore;Demersal;Day;coral;25.322725;30.19645
Aluterus scriptus;110;2.8;Omnivore;Demersal;Day;coral;26.1065;31.647
Amanses scopas;20;2.9;Omnivore;Demersal;Day;coral;26.3882;31.382
Ambassis jacksoniensis;7;3.1;Planktivore;pelagic site attached;Night;sand;17.72095;23.027
Amblycirrhitus bimacula;8.5;3.5;Benthic invertivore;benthic;Day;coral;26.73645;30.5928
Amblycirrhitus pinos;9.5;3.2;Benthic invertivore;benthic;Day;coral;27.008;30.244
Amblyeleotris fasciata;8;3.3;Benthic invertivore;benthic;Day;sand;27.4312;30.42765
Amblyeleotris guttata;11;3.4;Benthic invertivore;benthic;Day;sand;27.1755;30.59
Amblyeleotris gymnocephala;14;3.4;Benthic invertivore;benthic;Day;sand;26.56525;31.64625
Amblyeleotris japonica;7.4;3.3;Benthic invertivore;benthic;Day;sand;23.230375;31.136
Amblyeleotris periophthalma;11;3.4;Benthic invertivore;benthic;Day;sand;26.7289;30.2238
Amblyeleotris steinitzi;13;3.4;Benthic invertivore;benthic;Day;sand;27.714;31.223
Amblyeleotris sungami;10;NA;Browsing herbivore;benthic;Day;sand;24.842275;28.62175
Amblyeleotris wheeleri;10;3.4;Benthic invertivore;benthic;Day;sand;27.045;31.419
Amblyglyphidodon aureus;13;2.7;Omnivore;Demersal;Day;coral;27.856475;31.346
Amblyglyphidodon batunai;10;2.7;Omnivore;Demersal;Day;coral;29.408;30.95
Amblyglyphidodon curacao;11;2.6;Omnivore;Demersal;Day;coral;26.8;31.224
Amblyglyphidodon flavilatus;10;2.7;Omnivore;Demersal;Day;coral;25.863;30.681
Amblyglyphidodon indicus;8.3;2.7;Omnivore;Demersal;Day;coral;27.028;33.011
Amblyglyphidodon leucogaster;13;3.4;Omnivore;Demersal;Day;coral;27.43;31.346
Amblyglyphidodon melanopterus;10.1;2.7;Omnivore;Demersal;Day;coral;26.00245;29.021
Amblyglyphidodon orbicularis;8.3;2.7;Browsing herbivore;Demersal;Day;coral;29.0864;30.292
Amblyglyphidodon ternatensis;10;2.7;Omnivore;Demersal;Day;coral;27.0695;31.344
Amblygobius buanensis;8;NA;Browsing herbivore;benthic;Day;sand;29.916125;31.176
Amblygobius bynoensis;10;2.7;Omnivore;benthic;Day;sand;28.1508;31.2166
Amblygobius decussatus;9.5;2.7;Omnivore;benthic;Day;sand;26.71155;31.07
Amblygobius nocturnus;10;2.7;Omnivore;benthic;Day;sand;24.7465;30.581
Amblygobius phalaena;15;2.7;Omnivore;benthic;Day;sand;25.197;31.263
Amblyrhynchotes honckenii;30;3.3;Benthic invertivore;Demersal;Day;sand;19.575;22.345
Ammodytes tobianus;20;3.1;Planktivore;benthic;Day;sand;10.4677;20.0086
Amphichaetodon howensis;20;2.8;Benthic invertivore;Demersal;Day;coral;20.6858;24.92
Amphichthys cryptocentrus;40;NA;Benthic invertivore;benthic;Night;rock;NA;NA
Amphiprion akallopisos;11;2.7;Omnivore;Demersal;Day;coral;28.59855;32.205
Amphiprion akindynos;9;2.7;Omnivore;Demersal;Day;coral;24.826;29.866
Amphiprion allardi;15;2.7;Omnivore;Demersal;Day;coral;28.55425;32.821
Amphiprion bicinctus;14;2.7;Omnivore;Demersal;Day;coral;25.6795;30.314
Amphiprion chrysopterus;17;2.8;Omnivore;Demersal;Day;coral;26.78945;31.465
Amphiprion clarkii;15;2.9;Planktivore;Demersal;Day;coral;24.124625;32.17325
Amphiprion ephippium;14;2.7;Omnivore;Demersal;Day;coral;30.046;31.8758
Amphiprion frenatus;14;2.8;Omnivore;Demersal;Day;coral;25.493;31.21905
Amphiprion fuscocaudatus;14;2.7;Browsing herbivore;Demersal;Day;coral;29.227;33.011
Amphiprion latezonatus;14;2.7;Omnivore;Demersal;Day;coral;22.419;26.18
Amphiprion leucokranos;9;2.7;Browsing herbivore;Demersal;Day;coral;29.521025;31.50985
Amphiprion mccullochi;12;2.7;Omnivore;Demersal;Day;coral;22.11515;25.0993
Amphiprion melanopus;12;2.8;Omnivore;Demersal;Day;coral;25.23925;30.5295
Amphiprion nigripes;11;2.7;Browsing herbivore;Demersal;Day;coral;29.47805;30.8909
Amphiprion ocellaris;11;3;Omnivore;Demersal;Day;coral;28.09535;31.778
Amphiprion percula;11;2.7;Omnivore;Demersal;Day;coral;26.7046;31.0992
Amphiprion perideraion;10;2.6;Omnivore;Demersal;Day;coral;27.448925;31.47
Amphiprion rubrocinctus;12;2.6;Omnivore;Demersal;Day;coral;27.34815;32.352
Amphiprion sandaracinos;14;2.7;Omnivore;Demersal;Day;coral;29.031825;31.0819
Anampses caeruleopunctatus;42;3.3;Benthic invertivore;Demersal;Day;coral;24.412;30.903
Anampses cuvier;31;3.4;Benthic invertivore;Demersal;Day;coral;25.752;27.015
Anampses elegans;30;3.5;Benthic invertivore;Demersal;Day;coral;21.59;25.138
Anampses femininus;24;3.5;Benthic invertivore;Demersal;Day;coral;23.510625;27.89025
Anampses geographicus;31;3.2;Benthic invertivore;Demersal;Day;coral;23.5879;29.4198
Anampses lennardi;28;3.5;Benthic invertivore;Demersal;Day;coral;26.90125;31.495
Anampses lineatus;13;3.4;Benthic invertivore;Demersal;Day;coral;24.45625;32.81075
Anampses melanurus;12;3.4;Benthic invertivore;Demersal;Day;coral;26.67965;29.39985
Anampses meleagrides;22;3.5;Benthic invertivore;Demersal;Day;coral;27.218;33.011
Anampses neoguinaicus;20;3.5;Benthic invertivore;Demersal;Day;coral;24.472;29.813
Anampses twistii;18;3.5;Benthic invertivore;Demersal;Day;coral;27.0252;31.2104
Anarrhichthys ocellatus;240;3.5;Benthic invertivore;benthic;Day;rock;16.4587;29.725
Anisotremus caesius;30;3.4;Benthic invertivore;Demersal;Night;coral;26.5315;30.245
Anisotremus davidsonii;NA;NA;Higher carnivore;benthic;Day;rock;22.6405;29.254
Anisotremus interruptus;51;3.5;Benthic invertivore;Demersal;Night;coral;25.3245;30.2
Anisotremus scapularis;40;3.3;Benthic invertivore;Demersal;Night;coral;23.1575;26.17
Anisotremus surinamensis;76;3.3;Benthic invertivore;Demersal;Night;coral;26.697975;30.76685
Anisotremus taeniatus;31;4.2;Benthic invertivore;Demersal;Night;coral;25.736375;30.22575
Anisotremus virginicus;40.6;3.4;Benthic invertivore;Demersal;Night;coral;26.657;31.063
Anoplocapros amygdaloides;39;3.3;Benthic invertivore;Demersal;Day;rock;20.03635;23.779
Anoplocapros inermis;37;3.4;Benthic invertivore;Demersal;Day;rock;19.9155;24.56
Anoplocapros lenticularis;33;3.3;Benthic invertivore;Demersal;Day;rock;18.536;23.731
Anyperodon leucogrammicus;65;3.9;Higher carnivore;Demersal;Day;coral;28.971;33.011
Aphareus furca;70;4.1;Higher carnivore;Demersal;Day;coral;26.8855;30.674
Aphareus rutilans;70;4.1;Higher carnivore;Demersal;Day;rock;20.9657;31.207
Aploactisoma milesii;23;3.4;Benthic invertivore;benthic;Day;rock;17.312;23.062
Aplodactylus arctidens;65;2;Browsing herbivore;Demersal;Day;rock;16.3295;21.512
Aplodactylus etheridgii;45;2;Browsing herbivore;Demersal;Day;rock;21.115725;24.92
Aplodactylus lophodon;45;2;Browsing herbivore;Demersal;Day;rock;18.6715;23.239
Aplodactylus westralis;63;2;Browsing herbivore;Demersal;Day;rock;19.7295;23.261
Ostorhinchus apogonoides;10.15238095;3.490581286;Benthic invertivore;pelagic site attached;Night;Coral;27.667225;30.46675
Apogon atradorsatus;8.9;3.5;Benthic invertivore;pelagic site attached;Night;coral;25.0995;29.75
Apogon atricaudus;8;3.5;Benthic invertivore;pelagic site attached;Night;coral;28.278;29.75
Apogon binotatus;13;3.4;Benthic invertivore;pelagic site attached;Night;coral;27.204;30.636
Ostorhinchus capricornis;5.8;3.4;Benthic invertivore;pelagic site attached;Night;coral;24.22825;29.9584
Ostorhinchus chrysotaenia;12;3.6;Benthic invertivore;pelagic site attached;Night;coral;29.1024;30.51705
Ostorhinchus doederleini;14;3.6;Benthic invertivore;pelagic site attached;Night;coral;23.2935;31.144
Apogon dovii;7.5;3.4;Benthic invertivore;pelagic site attached;Night;coral;27.870325;30.292
Ostorhinchus fasciatus;10.3;3.6;Benthic invertivore;pelagic site attached;Night;rock;20.3524;24.2958
Ostorhinchus flavus;9.6;3.6;Benthic invertivore;pelagic site attached;Night;coral;21.996;24.92
Apogon imberbis;15;3.9;Planktivore;pelagic site attached;Night;rock;19.786;26.85
Apogon lachneri;6.5;3.4;Benthic invertivore;pelagic site attached;Night;coral;27.008;30.244
Ostorhinchus limenus;14;3.6;Benthic invertivore;pelagic site attached;Night;rock;20.781;26.18
Apogon maculatus;11.1;3.5;Benthic invertivore;pelagic site attached;Night;coral;23.7445;30.4535
Ostorhinchus multilineatus;10;3.5;Benthic invertivore;pelagic site attached;Night;coral;30.026125;30.8151
Ostorhinchus norfolcensis;15;3.5;Benthic invertivore;pelagic site attached;Night;coral;21.9185;25.138
Ostorhinchus notatus;10;3.5;Benthic invertivore;pelagic site attached;Night;rock;23.2895;31.136
Apogon pacificus;10;3.4;Benthic invertivore;pelagic site attached;Night;coral;22.0739;30.2368
Apogon retrosella;10;3.5;Benthic invertivore;pelagic site attached;Night;coral;27.846;30.859
Ostorhinchus schlegeli;10;3.5;Benthic invertivore;pelagic site attached;Night;rock;22.121;28.166
Apogon townsendi;6.5;3.4;Benthic invertivore;pelagic site attached;Night;coral;27.0745;30.377
Ostorhinchus urostigmus;15;3.7;Benthic invertivore;pelagic site attached;Night;coral;25.215;29.598
Ostorhinchus victoriae;14;3.5;Benthic invertivore;pelagic site attached;Night;rock;20.062;24.265
Apogonichthyoides timorensis;9;3.4;Benthic invertivore;Demersal;Night;sand;26.317;30.562
Apolemichthys trimaculatus;26;2.6;Benthic invertivore;Demersal;Day;coral;28.5305;31.647
Apolemichthys xanthotis;22;NA;Benthic invertivore;benthic;Day;coral;25.080725;28.65025
Aprion virescens;112;4;Higher carnivore;pelagic site attached;Day;coral;26.7926;31.493
Aptychotrema rostrata;120;3.9;Benthic invertivore;benthic;Night;sand;20.192175;25.11335
Aracana aurita;25;3.3;Benthic invertivore;Demersal;Day;rock;16.6879;23.311
Aracana ornata;15;3.2;Benthic invertivore;Demersal;Day;rock;16.610325;22.201
Archamia bleekeri;10;NA;Planktivore;benthic;Night;coral;NA;NA
Arenigobius frenatus;18;2.8;Benthic invertivore;benthic;Day;sand;17.0535;23.234
Argyrosomus japonicus;181;4.5;Higher carnivore;benthic;Night;rock;20.7078;28.2176
Arnoglossus bassensis;25;3.6;Benthic invertivore;benthic;Day;sand;15.9209;20.8152
Arothron caeruleopunctatus;54.14285714;3.226736111;Benthic invertivore;Demersal;Day;Coral;27.834;31.003
Arothron diadematus;30;3.3;Benthic invertivore;Demersal;Day;coral;25.6884;30.314
Arothron hispidus;50;3.1;Benthic invertivore;Demersal;Day;coral;23.746;31.322
Arothron manilensis;31;3.5;Benthic invertivore;Demersal;Day;coral;25.9104;32.167
Arothron mappa;65;2.8;Omnivore;Demersal;Day;coral;28.7403;31.7884
Arothron meleagris;50;3.4;Benthic invertivore;Demersal;Day;coral;25.994875;30.354
Arothron nigropunctatus;33;3.3;Omnivore;Demersal;Day;coral;26.91675;31.635
Arothron stellatus;120;3.3;Benthic invertivore;Demersal;Day;coral;25.08425;31.65
Arripis georgianus;41;4.3;Higher carnivore;pelagic non-site attached;Day;water column;18.2783;23.261
Arripis trutta;89;4.1;Higher carnivore;pelagic non-site attached;Day;water column;18.3571;24.56
Arripis truttacea;96;4.1;Higher carnivore;pelagic non-site attached;Day;water column;18.1335;22.991
Arripis xylabion;85;4.1;Higher carnivore;pelagic non-site attached;Day;water column;21.307;24.166
Artedius harringtoni;10;3.4;Benthic invertivore;benthic;Day;rock;9.101375;17.49
Aspasmogaster tasmaniensis;8;3.3;Benthic invertivore;benthic;Day;rock;16.39965;21.3731
Aspidontus dussumieri;12;2;Browsing herbivore;benthic;Day;coral;22.10615;29.44245
Aspidontus taeniatus;11.5;3.8;Browsing herbivore;benthic;Day;coral;23.6409;31.2763
Assessor flavissimus;5.5;3.4;Benthic invertivore;Demersal;Day;coral;26.81445;29.8643
Assessor macneilli;6;3.4;Benthic invertivore;Demersal;Day;coral;26.41605;30.402
Assessor randalli;4;3.5;Benthic invertivore;Demersal;Day;coral;24.860425;29.5163
Assiculus punctatus;8;3.6;Benthic invertivore;benthic;Night;coral;25.6325;28.307
Asterorhombus intermedius;20;4.2;Higher carnivore;benthic;Day;sand;24.183775;31.4622
Asterropteryx semipunctata;4.5;NA;Browsing herbivore;benthic;Day;sand;NA;NA
Asterropteryx striata;2.5;NA;Browsing herbivore;benthic;Day;sand;29.616;30
Asymbolus analis;90;4.1;Benthic invertivore;benthic;Night;rock;17.416425;21.9055
Atherina hepsetus;20;3.2;Browsing herbivore;pelagic non-site attached;Day;water column;17.912;25.945
Atherina presbyter;20;3.7;Browsing herbivore;pelagic non-site attached;Day;water column;21.57795;24.1959
Atherinomorus vaigiensis;17;3.2;Benthic invertivore;pelagic non-site attached;Day;water column;20.3347;24.3102
Atractoscion aequidens;130;3.9;Higher carnivore;benthic;Night;rock;21.502;24.099
Atrosalarias fuscus;11;3;Browsing herbivore;benthic;Day;coral;25.4395;30.724
Atrosalarias holomelas;10;3;Browsing herbivore;benthic;Day;coral;NA;NA
Atule mate;30;4.5;Higher carnivore;pelagic non-site attached;Day;water column;23.823125;30.32925
Atypichthys latus;30;3.5;Benthic invertivore;pelagic site attached;Day;coral;20.913875;24.92
Atypichthys strigatus;25;3.4;Planktivore;pelagic site attached;Day;rock;19.327;24.568
Aulacocephalus temminckii;40;4;Higher carnivore;Demersal;Day;coral;21.173;24.381
Aulohalaelurus labiosus;67;4;Higher carnivore;benthic;Night;rock;19.5624;22.745
Latropiscis purpurissatus;69;4;Higher carnivore;benthic;Day;rock;19.9155;24.56
Aulorhynchus flavidus;18;3.4;Planktivore;Demersal;Day;rock;13.714125;20.62425
Aulostomus chinensis;80;4.2;Higher carnivore;Demersal;Day;coral;25.32745;30.7719
Aulostomus maculatus;100;4.3;Higher carnivore;Demersal;Day;coral;26.885525;30.6143
Aulostomus strigosus;75;4.2;Higher carnivore;Demersal;Day;rock;21.782;24.613
Austrolabrus maculatus;17;3.4;Benthic invertivore;Demersal;Day;rock;18.918;24.56
Axoclinus cocoensis;3.5;2.8;Benthic invertivore;benthic;Day;coral;28.24755;29.7791
Axoclinus lucillae;3;2.7;Benthic invertivore;benthic;Day;coral;26.509;30.2
Axoclinus rubinoffi;3.5;2.6;Benthic invertivore;benthic;Day;rock;26.9305;27.64
Balistapus undulatus;30;3.4;Benthic invertivore;Demersal;Day;coral;27.72825;31.419
Balistes capriscus;60;3.6;Benthic invertivore;Demersal;Day;sand;19.6847;30.6068
Balistes polylepis;76;3.3;Benthic invertivore;Demersal;Day;sand;24.9276;30.2315
Balistes vetula;60;3.4;Benthic invertivore;Demersal;Day;sand;21.1175;30.227
Balistoides conspicillum;50;3.3;Benthic invertivore;Demersal;Day;coral;25.277775;31.51455
Balistoides viridescens;75;3.3;Benthic invertivore;Demersal;Day;coral;27.02615;31.6882
Bathygobius krefftii;12;2.8;Benthic invertivore;benthic;Day;sand;19.892;24.56
Bathygobius lineatus;8;3.4;Benthic invertivore;benthic;Day;sand;23.835;26.272
Bathystethus cultratus;30;3.2;Benthic invertivore;pelagic site attached;Day;coral;21.459125;24.92
Belone belone;93;4.2;Higher carnivore;pelagic non-site attached;Day;water column;12.62785;24.0717
Belonoperca chabanaudi;15;4;Benthic invertivore;pelagic site attached;Night;coral;27.4011;30.5702
Blenniella chrysospilos;13;2.5;Browsing herbivore;benthic;Day;coral;26.4235;30.25415
Bodianus albotaeniatus;52;3.130447761;Benthic invertivore;Demersal;Day;coral;25.438;26.849
Bodianus anthioides;24;3.4;Benthic invertivore;Demersal;Day;coral;25.9125;30.78
Bodianus axillaris;20;3.4;Benthic invertivore;Demersal;Day;coral;25.6195;31.224
Bodianus bilunulatus;55;3.4;Benthic invertivore;Demersal;Day;coral;25.372225;29.31945
Bodianus diana;20;3.5;Benthic invertivore;Demersal;Day;coral;27.242;31.328
Bodianus dictynna;25;3.5;Benthic invertivore;Demersal;Day;coral;29.5915;30.437
Bodianus diplotaenia;76;3.4;Benthic invertivore;Demersal;Day;coral;25.487;30.21
Bodianus eclancheri;61;2.7;Benthic invertivore;Demersal;Day;coral;23.1575;26.17
Bodianus frenchii;49;3.5;Benthic invertivore;Demersal;Day;rock;19.8269;23.178
Bodianus loxozonus;47;3.6;Benthic invertivore;Demersal;Day;coral;26.5375;29.554
Bodianus mesothorax;25;3.2;Benthic invertivore;Demersal;Day;coral;27.4689;31.535
Bodianus perditio;80;3.5;Benthic invertivore;Demersal;Day;rock;22.175;28.18
Bodianus rufus;40;3.4;Benthic invertivore;Demersal;Day;coral;26.68;30.91
Bodianus scrofa;43;3.5;Benthic invertivore;Demersal;Day;rock;21.70455;24.163
Bodianus unimaculatus;45;3.5;Benthic invertivore;Demersal;Day;rock;17.993;21.436
Bolbometopon muricatum;130;2.7;Excavator;Demersal;Day;coral;27.58385;31.2861
Boops boops;36;3;Benthic invertivore;pelagic site attached;Day;rock;18.99275;26.4125
Boopsoidea inornata;40;3.3;Browsing herbivore;Demersal;Day;rock;18.642;22.345
Boreogadus saida;40;3.1;Benthic invertivore;Demersal;Night;coral;9.1225;12.489
Bothragonus occidentalis;7;3.1;Benthic invertivore;benthic;Night;rock;8.7335;17.391
Bothus leopardinus;15;3.7;Higher carnivore;benthic;Day;coral;28.19575;31.696
Bothus mancus;45;4.4;Higher carnivore;benthic;Day;coral;25.038;30.945
Bothus pantherinus;39;3.5;Higher carnivore;benthic;Day;coral;27.482875;32.138
Bothus podas;45;3.4;Benthic invertivore;benthic;Day;sand;21.3321;29.8908
Bovichtus angustifrons;28;3.6;Benthic invertivore;benthic;Day;rock;15.8442;21.3454
Bovichtus argentinus;33;3.5;Benthic invertivore;benthic;Day;rock;14.77275;19.031
Brachaelurus waddi;122;3.9;Higher carnivore;benthic;Day;rock;20.194;24.792
Brachaluteres jacksonianus;10;2.9;Browsing herbivore;Demersal;Day;rock;18.012;24.56
Brachyistius frenatus;22;3.5;Benthic invertivore;pelagic site attached;Day;rock;14.3585;21.913
Bryaninops amplus;4.6;3.2;Benthic invertivore;benthic;Day;coral;26.538125;30.92425
Bryaninops erythrops;2.3;3;Benthic invertivore;benthic;Day;coral;28.068875;30.21375
Bryaninops natans;2.5;3;Benthic invertivore;benthic;Day;coral;26.5759;30.6128
Bryaninops nexus;2.3;3.1;Planktivore;benthic;Day;coral;28.064;30.581
Bryaninops yongei;3.133333333;3.087137681;Benthic invertivore;benthic;Day;Coral;27.729125;31.49585
Caesio caerulaurea;35;3.4;Planktivore;pelagic site attached;Day;coral;26.16675;31.3835
Caesio cuning;60;3.4;Planktivore;pelagic site attached;Day;coral;25.8995;31.505
Caesio lunaris;40;3.4;Planktivore;pelagic site attached;Day;coral;27.199;31.284
Caesio striata;25;3.4;Planktivore;pelagic site attached;Day;coral;26.5035;31.20675
Caesio suevica;35;3.4;Planktivore;pelagic site attached;Day;coral;26.67915;30.801
Caesio teres;40;3.4;Planktivore;pelagic site attached;Day;coral;26.549125;31.419
Caesio varilineata;40;3.4;Planktivore;pelagic site attached;Day;coral;28.121;33.011
Caesio xanthonota;40;3.4;Planktivore;pelagic site attached;Day;coral;28.056225;30.726
Caesioperca lepidoptera;30;3.1;Planktivore;pelagic site attached;Day;rock;16.8405;21.392
Caesioperca rasor;26;3.6;Planktivore;pelagic site attached;Day;rock;15.8935;20.945
Caesioscorpis theagenes;16;3;Planktivore;Demersal;Day;rock;20.2135;23.311
Caffrogobius nudiceps;14;3.4;Benthic invertivore;benthic;Day;sand;19.5045;24.07
Calamus bajonado;76;3.2;Benthic invertivore;Demersal;Day;coral;27.0907;30.3752
Calamus brachysomus;61;3.5;Benthic invertivore;Demersal;Day;coral;22.7478;29.6366
Calamus calamus;56;3.3;Benthic invertivore;Demersal;Day;coral;26.58;31.063
Calamus pennatula;37;3.5;Benthic invertivore;Demersal;Day;coral;27.322325;29.93575
Calamus taurinus;40;3.3;Benthic invertivore;Demersal;Day;coral;23.4715;26.17
