"","name","CL_cie_d_mean","CL_cie_d_sd","CL_hullarea","SH_n.core.cell_mean","SH_n.core.cell_sd","SH_perimeter_mean","SH_perimeter_sd","SH_perim.area.ratio_mean","SH_perim.area.ratio_sd","SH_core.area.index_mean","SH_core.area.index_sd"
"1","Abalistes_stellatus_A_1",25.2065264126727,20.3766164188202,206.147118295178,2370.88888888889,2564.16616292921,7440.22222222222,5361.46094310538,1.19287334653652,0.400566070474282,0.274182651112669,0.144350504962357
"2","Abalistes_stellatus_A_2",32.1255089075955,24.0827712185996,364.801955581442,1431.22222222222,1081.5391552988,10162,6370.15062616262,1.32844604120198,0.295483819757111,0.187937335562079,0.102594438407456
"3","Abalistes_stellatus_J_1",33.8360640795989,27.3367720911541,488.927510049582,3520.44444444444,3147.29157813155,7713.33333333333,5002.82630120215,1.10023106600713,0.500815543623823,0.333147997597655,0.198593952127084
"4","Abudefduf_abdominalis_A_1",22.5500746597016,11.1805832273894,928.10719948142,453.777777777778,349.996349187309,13025.5555555556,7319.70032021652,1.81199248414665,0.305549239428779,0.0735760677039487,0.0479358065509903
"5","Abudefduf_abdominalis_A_2",19.4046094314571,10.1516565476371,396.15393269968,1859.55555555556,2397.70479370955,8361.55555555555,4826.96310093394,1.47658731088946,0.471677410757854,0.212289263915054,0.145988610745635
"6","Abudefduf_abdominalis_J_1",15.4075508224412,7.95290120735153,266.797326848354,4169.77777777778,3456.53152660936,5244.44444444444,3336.36880122354,0.674192732760133,0.185665583053596,0.495025313499746,0.121940316724365
"7","Abudefduf_bengalensis_A_1",23.1087972145551,12.8456398168336,677.171660485817,2046,2841.14087999874,8768,6638.94713038144,1.31311425785825,0.387311318147512,0.199760418102559,0.112738613736378
"8","Abudefduf_concolor_A_1",14.6039531520823,9.02613449590802,95.703068531935,999.444444444444,1100.47888565741,13570,9275.61070765694,1.56231396139428,0.47892249953054,0.147138185258478,0.189948582851209
"9","Abudefduf_concolor_A_2",17.809568900755,9.28577194587055,395.394654623946,1845,1659.73906081649,13314,7933.25834698455,1.40737606046909,0.422349681116179,0.196611575811551,0.149674397026133
"10","Abudefduf_conformis_A_1",8.69734127150357,3.95915395121058,101.717537513354,1693.33333333333,1115.05997596542,9832.88888888889,3538.10233191624,1.38946756951026,0.483857882066263,0.198488832770038,0.11130371196027
"11","Abudefduf_conformis_A_2",11.1999521259393,8.57935471162042,125.186679407644,757.111111111111,620.90044380006,15489.3333333333,8977.85464351033,2.05052078660925,0.659695513932196,0.0751694891144585,0.0627920957595978
"12","Abudefduf_luridus_A_1",25.7278882641875,16.5584648502125,838.965614613956,3899.11111111111,6055.44505887974,7086.66666666667,7431.02159867673,1.39807711221505,0.774229669981638,0.270728304800557,0.232694753633962
"13","Abudefduf_luridus_A_2",22.51371999899,14.9762044097438,473.124487398359,2377.77777777778,2923.63886183715,7313.77777777778,4976.79499722908,1.47789870474296,0.577111304321507,0.2187159681272,0.167316029305173
"14","Abudefduf_luridus_J_2",25.7036834246506,16.177332679742,413.971781739244,2696.88888888889,2950.62613882395,8836.66666666667,5878.88212162823,1.26979981788992,0.740048175054707,0.312358173976981,0.322203196073289
"15","Abudefduf_notatus_1",9.57827321906946,6.11954019212424,66.0311112636508,1603.66666666667,1242.2220010932,9876.88888888889,5747.03341830471,1.28463682648822,0.293292259384024,0.201795334736284,0.0992092255096097
"16","Abudefduf_notatus_A_1",30.9447617523267,21.6479891069231,487.028455781688,2832.88888888889,3659.42476505681,7362.66666666667,6200.91025576084,1.40619131626865,0.769977396146322,0.280607899383847,0.271979474654691
"17","Abudefduf_saxatilis_A_1",32.6260830156195,27.0345335363372,801.47254128718,2917.88888888889,3178.95593884393,5662.66666666667,4902.57615953082,0.950221251838941,0.324891962536428,0.348173875935222,0.16357921087169
"18","Abudefduf_saxatilis_A_2",18.538014133389,11.8221134350681,414.87689714891,3988.77777777778,2643.47819065042,5427.55555555556,3143.58915537285,0.695171825985527,0.266304297066186,0.48437518651001,0.161313217671752
"19","Abudefduf_saxatilis_J_1",12.5102397472015,6.91778726742958,165.40142754835,2549.66666666667,2140.12908489184,5512,2796.97425801526,0.930093892371387,0.299978841509814,0.373615827380568,0.162139304293003
"20","Abudefduf_septemfasciatus_A_1",14.8345497718462,11.9322484648722,82.896836504763,1540.22222222222,2057.73284088203,14066.2222222222,11108.1053489983,1.58240868261603,0.242033548072882,0.136528589050943,0.0709136619688788
"21","Abudefduf_septemfasciatus_A_2",9.69274843044453,5.30919817045597,98.9857834630715,2857.44444444444,2571.48046420302,8330.88888888889,5775.35116777423,0.923386219195961,0.285549475178974,0.344185897435153,0.15203668381825
"22","Abudefduf_sexfasciatus_A_1",9.47952416148051,5.10138271596242,106.728646628944,2279.44444444444,3999.63239283034,6248.22222222222,4316.19119646529,1.31922509417237,0.397748253566933,0.208167914992398,0.166818825144931
"23","Abudefduf_sexfasciatus_A_2",19.779625685011,10.045913570206,590.081335524041,1577.88888888889,1307.78672233324,12833.3333333333,6230.4044812516,1.52332593621792,0.400729401345212,0.160760552986396,0.105656706188381
"24","Abudefduf_sexfasciatus_A_3",21.7084845550055,12.4221246148196,439.663985200726,2995.33333333333,4776.16210989535,6366.88888888889,4120.84410177225,1.12558948533013,0.488696143972803,0.31828443654496,0.210296370231491
"25","Abudefduf_sordidus_A_1",13.5647803539238,8.00836167375914,193.011944397869,2054,2754.49682337809,13431.7777777778,10385.6427554795,1.52350758444944,0.505649853435463,0.163731561702966,0.166840457378525
