Size;Rsquared
32;0.39948313
32;0.39948313
32;0.39948313
32;0.39948313
32;0.39948313
64;0.612983939
64;0.612983939
64;0.612983939
64;0.612983939
64;0.612983939
128;0.725800233
128;0.694879676
128;0.713495511
128;0.705137854
128;0.735582349
224;0.807087256
224;0.79656122
224;0.79300643
224;0.763441424
224;0.776957255
256;0.804354294
256;0.792518829
256;0.788658249
256;0.774768847
256;0.791710903
512;0.745490121
512;0.732823384
512;0.741777338
512;0.734035637
512;0.755688366
