"sp_worms","name_worms","name","copyright","mayo_db","serf","newcal","iucn","rls","focus","mayo_campgn","fisheyes_campgn","esthe_mayo","esthe_fisheyes","esthe_all"
"Acanthaluteres_vittiger","Acanthaluteres_vittiger_F_1","Acanthaluteres_vittiger_F_1","YES",0,1,0,0,1,1,0,1,NA,1450.77,1450.77
"Acanthaluteres_vittiger","Acanthaluteres_vittiger_M_1","Acanthaluteres_vittiger_M_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthaluteres_vittiger","Acanthaluteres_vittiger_M_2","Acanthaluteres_vittiger_M_2","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthemblemaria_atrata","Acanthemblemaria_atrata_A_1","Acanthemblemaria_atrata_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Acanthemblemaria_atrata","Acanthemblemaria_atrata_A_2","Acanthemblemaria_atrata_A_2","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Acanthemblemaria_castroi","Acanthemblemaria_castroi_A_1","Acanthemblemaria_castroi_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Acanthemblemaria_castroi","Acanthemblemaria_castroi_A_2","Acanthemblemaria_castroi_A_2","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Acanthemblemaria_crockeri","Acanthemblemaria_crockeri_A_1","Acanthemblemaria_crockeri_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_1","Acanthemblemaria_hancocki_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_2","Acanthemblemaria_hancocki_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_3","Acanthemblemaria_hancocki_A_3","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_4","Acanthemblemaria_hancocki_A_4","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthemblemaria_spinosa","Acanthemblemaria_spinosa_A_1","Acanthemblemaria_spinosa_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthemblemaria_stephensi","Acanthemblemaria_stephensi_A_1","Acanthemblemaria_stephensi_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Acanthistius_cinctus","Acanthistius_cinctus_A_1","Acanthistius_cinctus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthistius_ocellatus","Acanthistius_ocellatus_A_1","Acanthistius_ocellatus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthistius_ocellatus","Acanthistius_ocellatus_A_2","Acanthistius_ocellatus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthistius_ocellatus","Acanthistius_ocellatus_J_1","Acanthistius_ocellatus_J_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthistius_pardalotus","Acanthistius_pardalotus_A_1","Acanthistius_pardalotus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthistius_patachonicus","Acanthistius_patachonicus_A_1","Acanthistius_patachonicus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthistius_patachonicus","Acanthistius_patachonicus_A_2","Acanthistius_patachonicus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthistius_patachonicus","Acanthistius_patachonicus_A_3","Acanthistius_patachonicus_A_3","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthistius_sebastoides","Acanthistius_sebastoides_A_1","Acanthistius_sebastoides_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthistius_serratus","Acanthistius_serratus_A_1","Acanthistius_serratus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_1","Acanthochromis_polyacanthus_A_1","NO",0,0,1,0,1,1,0,0,NA,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_2","Acanthochromis_polyacanthus_A_2","YES",0,0,1,0,1,1,0,0,NA,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_3","Acanthochromis_polyacanthus_A_3","YES",0,0,1,0,1,1,0,0,NA,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_4","Acanthochromis_polyacanthus_A_4","YES",0,0,1,0,1,1,0,0,NA,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_J_1","Acanthochromis_polyacanthus_J_1","YES",0,0,1,0,1,1,0,1,NA,1323.749,1323.749
"Acanthopagrus_australis","Acanthopagrus_australis_A_1","Acanthopagrus_australis_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthopagrus_australis","Acanthopagrus_australis_A_2","Acanthopagrus_australis_A_2","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthopagrus_latus","Acanthopagrus_latus_A_1","Acanthopagrus_latus_A_1","YES",0,1,0,0,1,1,0,1,NA,1207.978,1207.978
"Acanthostracion_polygonius","Acanthostracion_polygonius_A_1","Acanthostracion_polygonius_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthostracion_polygonius","Acanthostracion_polygonius_A_2","Acanthostracion_polygonius_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthostracion_polygonius","Acanthostracion_polygonius_J_1","Acanthostracion_polygonius_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthostracion_quadricornis","Acanthostracion_quadricornis_A_1","Acanthostracion_quadricornis_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthostracion_quadricornis","Acanthostracion_quadricornis_J_1","Acanthostracion_quadricornis_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthurus_achilles","Acanthurus_achilles_A_1","Acanthurus_achilles_A_1",NA,0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_albipectoralis","Acanthurus_albipectoralis_A_1","Acanthurus_albipectoralis_A_1","YES",0,1,1,0,1,1,0,1,NA,1469.22,1469.22
"Acanthurus_auranticavus","Acanthurus_auranticavus_A_1","Acanthurus_auranticavus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_bahianus","Acanthurus_bahianus_A_1","Acanthurus_bahianus_A_1","YES",0,1,0,0,1,1,0,1,NA,1799.596,1799.596
"Acanthurus_bariene","Acanthurus_bariene_A_1","Acanthurus_bariene_A_1",NA,0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_bariene","Acanthurus_bariene_A_2","Acanthurus_bariene_A_2","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_bariene","Acanthurus_bariene_A_3","Acanthurus_bariene_A_3","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_blochii","Acanthurus_blochii_A_1","Acanthurus_blochii_A_1","YES",0,1,1,0,1,1,0,1,NA,1671.735,1671.735
"Acanthurus_chirurgus","Acanthurus_chirurgus_A_1","Acanthurus_chirurgus_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_chronixis","Acanthurus_chronixis_A_1","Acanthurus_chronixis_A_1","NO",0,0,0,1,0,1,0,0,NA,0,NA
"Acanthurus_chronixis","Acanthurus_chronixis_A_2","Acanthurus_chronixis_A_2","NO",0,0,0,1,0,1,0,0,NA,0,NA
"Acanthurus_coeruleus","Acanthurus_coeruleus_A_1","Acanthurus_coeruleus_A_1","NO",0,1,0,0,1,1,0,1,NA,1803.3,1803.3
"Acanthurus_coeruleus","Acanthurus_coeruleus_J_1","Acanthurus_coeruleus_J_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_coeruleus","Acanthurus_coeruleus_J_2","Acanthurus_coeruleus_J_2","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_dussumieri","Acanthurus_dussumieri_A_1","Acanthurus_dussumieri_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_fowleri","Acanthurus_fowleri_A_1","Acanthurus_fowleri_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_gahhm","Acanthurus_gahhm_A_1","Acanthurus_gahhm_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_grammoptilus","Acanthurus_grammoptilus_A_1","Acanthurus_grammoptilus_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_grammoptilus","Acanthurus_grammoptilus_A_2","Acanthurus_grammoptilus_A_2","YES",0,1,0,0,1,1,0,1,NA,1481.616,1481.616
"Acanthurus_grammoptilus","Acanthurus_grammoptilus_J_1","Acanthurus_grammoptilus_J_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_guttatus","Acanthurus_guttatus_A_1","Acanthurus_guttatus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_guttatus","Acanthurus_guttatus_A_2","Acanthurus_guttatus_A_2","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_leucocheilus","Acanthurus_leucocheilus_A_1","Acanthurus_leucocheilus_A_1","YES",0,1,0,0,1,1,0,1,NA,1568.44,1568.44
"Acanthurus_leucopareius","Acanthurus_leucopareius_A_1","Acanthurus_leucopareius_A_1","YES",0,1,1,0,1,1,0,1,NA,1358.129,1358.129
"Acanthurus_leucopareius","Acanthurus_leucopareius_A_2","Acanthurus_leucopareius_A_2","NO",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_leucosternon","Acanthurus_leucosternon_5","Acanthurus_leucosternon_5","YES",1,1,0,0,1,1,1,0,1843.976304,0,1759.10878508522
"Acanthurus_leucosternon","Acanthurus_leucosternon_A_1","Acanthurus_leucosternon_A_1","NO",1,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_leucosternon","Acanthurus_leucosternon_A_2","Acanthurus_leucosternon_A_2","NO",1,1,0,0,1,1,0,1,NA,1870.045,1870.045
"Acanthurus_lineatus","Acanthurus_lineatus_6","Acanthurus_lineatus_6","YES",1,1,1,0,1,1,1,0,1800.779671,0,1721.31425982559
"Acanthurus_lineatus","Acanthurus_lineatus_A_1","Acanthurus_lineatus_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_lineatus","Acanthurus_lineatus_A_2","Acanthurus_lineatus_A_2","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_maculiceps","Acanthurus_maculiceps_A_1","Acanthurus_maculiceps_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_mata","Acanthurus_mata_A_1","Acanthurus_mata_A_1","NO",0,1,1,0,1,1,0,1,NA,1657.074,1657.074
"Acanthurus_mata","Acanthurus_mata_J_1","Acanthurus_mata_J_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nigricans","Acanthurus_nigricans_A_1","Acanthurus_nigricans_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nigricauda","Acanthurus_nigricauda_4","Acanthurus_nigricauda_4","YES",1,1,1,0,1,1,1,0,1345.34194,0,1322.83290530727
"Acanthurus_nigricauda","Acanthurus_nigricauda_A_1","Acanthurus_nigricauda_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_7","Acanthurus_nigrofuscus_7","YES",1,1,1,0,1,1,1,0,1405.227904,0,1375.2296182431
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_1","Acanthurus_nigrofuscus_A_1","NO",1,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_2","Acanthurus_nigrofuscus_A_2","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_3","Acanthurus_nigrofuscus_A_3","YES",1,1,1,0,1,1,0,1,NA,1548.202,1548.202
"Acanthurus_nigroris","Acanthurus_nigroris_A_1","Acanthurus_nigroris_A_1","NO",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nigroris","Acanthurus_nigroris_A_2","Acanthurus_nigroris_A_2","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nigroris","Acanthurus_nigroris_A_3","Acanthurus_nigroris_A_3","YES",0,1,1,0,1,1,0,1,NA,1359.632,1359.632
"Acanthurus_nubilus","Acanthurus_nubilus_A_1","Acanthurus_nubilus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_nubilus","Acanthurus_nubilus_A_2","Acanthurus_nubilus_A_2","NO",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_olivaceus","Acanthurus_olivaceus_A_1","Acanthurus_olivaceus_A_1","NO",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_olivaceus","Acanthurus_olivaceus_J_1","Acanthurus_olivaceus_J_1","NO",0,1,1,0,1,1,0,1,NA,1664.034,1664.034
"Acanthurus_pyroferus","Acanthurus_pyroferus_A_1","Acanthurus_pyroferus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_pyroferus","Acanthurus_pyroferus_J_1","Acanthurus_pyroferus_J_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_pyroferus","Acanthurus_pyroferus_J_2","Acanthurus_pyroferus_J_2","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_reversus","Acanthurus_reversus_A_1","Acanthurus_reversus_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthurus_reversus","Acanthurus_reversus_J_1","Acanthurus_reversus_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Acanthurus_sohal","Acanthurus_sohal_A_1","Acanthurus_sohal_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_tennentii","Acanthurus_tennentii_8","Acanthurus_tennentii_8","YES",1,1,0,0,1,1,1,0,1730.224699,0,1659.58278942494
"Acanthurus_tennentii","Acanthurus_tennentii_A_1","Acanthurus_tennentii_A_1","YES",1,1,0,0,1,1,0,1,NA,1545.285,1545.285
"Acanthurus_thompsoni","Acanthurus_thompsoni_9","Acanthurus_thompsoni_9","YES",1,1,1,0,1,1,1,0,1379.416611,0,1352.64624779216
"Acanthurus_thompsoni","Acanthurus_thompsoni_A_1","Acanthurus_thompsoni_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_thompsoni","Acanthurus_thompsoni_A_2","Acanthurus_thompsoni_A_2","YES",1,1,1,0,1,1,0,1,NA,1269.924,1269.924
"Acanthurus_thompsoni","Acanthurus_thompsoni_A_3","Acanthurus_thompsoni_A_3","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Acanthurus_triostegus","Acanthurus_triostegus_10","Acanthurus_triostegus_10","YES",1,1,1,0,1,1,1,0,1517.962566,0,1473.86584830751
"Acanthurus_triostegus","Acanthurus_triostegus_A_1","Acanthurus_triostegus_A_1","NO",1,1,1,0,1,1,0,1,NA,1606.832,1606.832
"Acanthurus_tristis","Acanthurus_tristis_176","Acanthurus_tristis_176","YES",1,1,0,0,1,1,1,0,1371.509794,0,1345.72824576108
"Acanthurus_tristis","Acanthurus_tristis_A_1","Acanthurus_tristis_A_1","YES",1,1,0,0,1,1,0,0,NA,0,NA
"Acanthurus_tristis","Acanthurus_tristis_J_1","Acanthurus_tristis_J_1","YES",1,1,0,0,1,1,0,1,NA,1485.826,1485.826
"Acanthurus_xanthopterus","Acanthurus_xanthopterus_A_1","Acanthurus_xanthopterus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA
"Achoerodus_gouldii","Achoerodus_gouldii_A_1","Achoerodus_gouldii_A_1","NO",0,0,0,1,1,1,0,0,NA,0,NA
"Achoerodus_gouldii","Achoerodus_gouldii_A_2","Achoerodus_gouldii_A_2","YES",0,0,0,1,1,1,0,0,NA,0,NA
"Achoerodus_gouldii","Achoerodus_gouldii_A_3","Achoerodus_gouldii_A_3","YES",0,0,0,1,1,1,0,0,NA,0,NA
"Achoerodus_viridis","Achoerodus_viridis_F_1","Achoerodus_viridis_F_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Achoerodus_viridis","Achoerodus_viridis_J_1","Achoerodus_viridis_J_1","YES",0,1,0,0,1,1,0,1,NA,1423.605,1423.605
"Achoerodus_viridis","Achoerodus_viridis_M_1","Achoerodus_viridis_M_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Aetapcus_maculatus","Aetapcus_maculatus_A_1","Aetapcus_maculatus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Aetapcus_maculatus","Aetapcus_maculatus_A_2","Aetapcus_maculatus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Aethaloperca_rogaa","Aethaloperca_rogaa_11","Aethaloperca_rogaa_11","YES",1,1,1,0,1,1,1,0,1199.714693,0,1195.41758881182
"Aethaloperca_rogaa","Aethaloperca_rogaa_A_1","Aethaloperca_rogaa_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Aethaloperca_rogaa","Aethaloperca_rogaa_A_2","Aethaloperca_rogaa_A_2","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Aethaloperca_rogaa","Aethaloperca_rogaa_J_1","Aethaloperca_rogaa_J_1","YES",1,1,1,0,1,1,0,0,NA,0,NA
"Afurcagobius_tamarensis","Afurcagobius_tamarensis_A_1","Afurcagobius_tamarensis_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Afurcagobius_tamarensis","Afurcagobius_tamarensis_A_2","Afurcagobius_tamarensis_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Aioliops_brachypterus","Aioliops_brachypterus_A_1","Aioliops_brachypterus_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Aioliops_novaeguineae","Aioliops_novaeguineae_A_1","Aioliops_novaeguineae_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Aioliops_novaeguineae","Aioliops_novaeguineae_A_2","Aioliops_novaeguineae_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Albula_glossodonta","Albula_glossodonta_A_1","Albula_glossodonta_A_1","NO",0,0,0,1,0,1,0,0,NA,0,NA
"Albula_glossodonta","Albula_glossodonta_A_2","Albula_glossodonta_A_2","NO",0,0,0,1,0,1,0,0,NA,0,NA
"Alectis_ciliaris","Alectis_ciliaris_A_1","Alectis_ciliaris_A_1","NO",0,1,1,0,1,1,0,0,NA,0,NA
"Alectis_ciliaris","Alectis_ciliaris_A_2","Alectis_ciliaris_A_2","NO",0,1,1,0,1,1,0,0,NA,0,NA
"Alectis_ciliaris","Alectis_ciliaris_J_1","Alectis_ciliaris_J_1","NO",0,1,1,0,1,1,0,0,NA,0,NA
"Alloclinus_holderi","Alloclinus_holderi_A_1","Alloclinus_holderi_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Allomycterus_pilatus","Allomycterus_pilatus_A_1","Allomycterus_pilatus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Allomycterus_pilatus","Allomycterus_pilatus_A_2","Allomycterus_pilatus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Alphestes_immaculatus","Alphestes_immaculatus_A_1","Alphestes_immaculatus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Alphestes_immaculatus","Alphestes_immaculatus_A_2","Alphestes_immaculatus_A_2","YES",0,1,0,0,1,1,0,0,NA,0,NA
"Altrichthys_azurelineatus","Altrichthys_azurelineatus_A_1","Altrichthys_azurelineatus_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Altrichthys_azurelineatus","Altrichthys_azurelineatus_A_2","Altrichthys_azurelineatus_A_2","YES",0,0,0,1,0,1,0,0,NA,0,NA
"Altrichthys_curatus","Altrichthys_curatus_A_1","Altrichthys_curatus_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA
